Lead1,Lead2,Lead3
4.78546,41.4093,20.4462
4.98931,43.0408,21.0461
5.12635,44.348,21.5716
5.22207,45.5102,22.1193
5.31812,46.694,22.668
5.42179,47.7104,23.096
5.57845,48.8371,23.4587
5.84376,50.3336,23.7584
6.21019,52.0628,23.9107
6.60217,53.8738,24.0308
6.92311,55.5996,24.2799
7.20168,57.3257,24.6145
7.54115,59.1538,24.9381
7.95984,60.8848,25.1846
8.37924,62.3639,25.3815
8.80492,63.7564,25.5784
9.27904,65.1041,25.7284
9.78209,66.2902,25.773
10.2717,67.191,25.7048
10.7223,67.7576,25.5314
11.1785,68.155,25.265
11.6002,68.4024,24.9202
11.953,68.3675,24.5317
12.2249,68.0098,24.1295
12.4247,67.3847,23.6642
12.6313,66.5865,23.1199
12.873,65.7363,22.5356
13.1868,64.9203,21.9315
13.572,64.1904,21.2968
14.0276,63.5321,20.6271
14.5781,62.9342,19.8673
15.2238,62.3634,18.9532
15.9,61.7158,18.0045
16.5997,61.0981,17.0902
17.4105,60.6529,16.1445
18.323,60.3176,15.1156
19.2946,60.0218,14.0175
20.2645,59.777,12.9223
21.2,59.4708,11.8685
22.0503,58.9229,10.8825
22.7705,58.2074,9.99323
23.4694,57.5233,9.15506
24.2973,57.076,8.31227
25.1347,56.6693,7.4749
25.799,55.9645,6.67223
26.2612,55.1199,5.99646
26.5568,54.3117,5.45117
26.6829,53.3903,4.9821
26.6075,52.232,4.56814
26.3822,50.9144,4.20139
26.1078,49.6228,3.89301
25.8243,48.5006,3.65737
25.5431,47.5082,3.47942
25.3561,46.6521,3.31675
25.2129,45.8925,3.16365
25.0687,45.178,3.01584
25.0103,44.593,2.87201
25.0528,44.1787,2.74255
25.215,43.8916,2.61991
25.3701,43.4871,2.50237
25.3948,42.9445,2.39655
25.3067,42.3859,2.30508
25.1304,41.722,2.20826
24.7648,40.7659,2.10537
24.1479,39.5851,2.01705
23.3393,38.2629,1.96417
22.3888,36.7021,1.9077
21.3364,34.8888,1.81348
20.2268,32.9566,1.70385
19.1243,31.0428,1.58879
18.0188,29.1473,1.47462
16.9033,27.2944,1.39873
15.8212,25.4899,1.33441
14.7373,23.7006,1.27169
13.5933,21.9058,1.26009
12.4776,20.1313,1.29879
11.4836,18.5064,1.35199
10.6102,17.0594,1.40034
9.88256,15.8171,1.44867
9.29242,14.8199,1.51802
8.82582,14.0305,1.61604
8.4552,13.3769,1.7231
8.11501,12.8111,1.81769
7.781,12.2694,1.85168
7.43972,11.7017,1.8455
7.04136,11.088,1.84478
6.62261,10.5096,1.8635
6.20394,9.96201,1.89931
5.70031,9.30766,1.94574
5.03736,8.47215,2.00005
